date,site,type,counts
2021-03-31,site_1,cra,329500000
2021-03-31,site_1,n2,30534.454999999998
2021-03-31,site_2,cra,50107341
2021-03-31,site_2,n2,56486.973333333335
2021-03-31,site_3,cra,21596000.75
2021-03-31,site_3,n2,64569.753333333334
2021-03-31,site_4,cra,37726655.25
2021-03-31,site_4,n2,48439.363333333335
2021-03-31,site_5,cra,14496271.75
2021-03-31,site_5,n2,24251.991833333333
2021-04-05,site_1,cra,37960570.2
2021-04-05,site_1,n2,148015.59163333333
2021-04-05,site_2,cra,5812074.7
2021-04-05,site_2,n2,18261.018266666666
2021-04-05,site_3,cra,6933450.1575
2021-04-05,site_3,n2,56734.490366666665
2021-04-05,site_4,cra,16737900.15
2021-04-05,site_4,n2,37297.799283333334
2021-04-05,site_5,cra,3649350.0275
2021-04-05,site_5,n2,63144.92963333333
2021-04-07,site_1,cra,167.6475
2021-04-07,site_1,n2,404944.0333333333
2021-04-07,site_2,cra,3934590.25
2021-04-07,site_2,n2,191046
2021-04-07,site_3,cra,27042248
2021-04-07,site_3,n2,143217.04166666666
2021-04-07,site_4,cra,4307102.5
2021-04-07,site_4,n2,256582.36666666667
2021-04-07,site_5,cra,130849747.5
2021-04-07,site_5,n2,296271.61666666664
2021-04-12,site_1,cra,19271935.05
2021-04-12,site_1,n2,114609.3627
2021-04-12,site_2,cra,9605740.54
2021-04-12,site_2,n2,47074.5517
2021-04-12,site_3,cra,16162742.775
2021-04-12,site_3,n2,48054.68523333334
2021-04-12,site_4,cra,23407515.125
2021-04-12,site_4,n2,83739.20805
2021-04-12,site_5,cra,35293985
2021-04-12,site_5,n2,123317.58898333333
2021-04-14,site_1,cra,22537870.85
2021-04-14,site_1,n2,299682.21883333335
2021-04-14,site_2,cra,30846719.73333333
2021-04-14,site_2,n2,175125.65491666668
2021-04-14,site_3,cra,22793925.733333334
2021-04-14,site_3,n2,266696.35983333335
2021-04-14,site_4,cra,NA
2021-04-14,site_4,n2,253250.6338
2021-04-14,site_5,cra,92265767.25
2021-04-14,site_5,n2,82530.95022500001
2021-04-19,site_1,cra,47418792.82
2021-04-19,site_1,n2,749629.906
2021-04-19,site_2,cra,16354741.15
2021-04-19,site_2,n2,121940.06375
2021-04-19,site_3,cra,26687360.033333335
2021-04-19,site_3,n2,138663.38605
2021-04-19,site_4,cra,5605486.715
2021-04-19,site_4,n2,53044.687933333335
2021-04-19,site_5,cra,122900829.55
2021-04-19,site_5,n2,118764.98171666666
2021-04-21,site_1,cra,20479564
2021-04-21,site_1,n2,348856.1666666667
2021-04-21,site_2,cra,52672304.5
2021-04-21,site_2,n2,168003.93333333335
2021-04-21,site_3,cra,9257087.5
2021-04-21,site_3,n2,253889.65
2021-04-21,site_4,cra,12599956.75
2021-04-21,site_4,n2,97459.89
2021-04-21,site_5,cra,NA
2021-04-21,site_5,n2,312051.7833333333
2021-04-26,site_1,cra,6539119
2021-04-26,site_1,n2,8504.379833333334
2021-04-26,site_2,cra,12088726.75
2021-04-26,site_2,n2,211442.41666666666
2021-04-26,site_3,cra,4769076.75
2021-04-26,site_3,n2,55322.085
2021-04-26,site_4,cra,9794266
2021-04-26,site_4,n2,180056.41666666666
2021-04-26,site_5,cra,51470126
2021-04-26,site_5,n2,138355.1666666667
2021-04-28,site_1,cra,11854856.25
2021-04-28,site_1,n2,183051.81666666665
2021-04-28,site_2,cra,15811617.5
2021-04-28,site_2,n2,204566.78333333333
2021-04-28,site_3,cra,11859076.25
2021-04-28,site_3,n2,566971.3833333333
2021-04-28,site_4,cra,1702446.925
2021-04-28,site_4,n2,61830.35666666667
2021-04-28,site_5,cra,107648442.75
2021-04-28,site_5,n2,264722.3666666667
2021-05-03,site_1,cra,65334563.75
2021-05-03,site_1,n2,885243.6333333333
2021-05-03,site_2,cra,13784934.75
2021-05-03,site_2,n2,505604.06666666665
2021-05-03,site_3,cra,31174597.25
2021-05-03,site_3,n2,189412.88333333333
2021-05-03,site_4,cra,3761867
2021-05-03,site_4,n2,267227.3
2021-05-03,site_5,cra,114942.655
2021-05-03,site_5,n2,787.4951000000001
2021-05-05,site_1,cra,49983113.25
2021-05-05,site_1,n2,1268937.5
2021-05-05,site_2,cra,13046637.5
2021-05-05,site_2,n2,207948.46666666667
2021-05-05,site_3,cra,34127030.5
2021-05-05,site_3,n2,309657.4166666667
2021-05-05,site_4,cra,10259839
2021-05-05,site_4,n2,82364.06
2021-05-05,site_5,cra,39464039.5
2021-05-05,site_5,n2,186200.18333333335
2021-05-10,site_1,cra,300713068.4
2021-05-10,site_1,n2,282057.4510666667
2021-05-10,site_2,cra,301798.8206
2021-05-10,site_2,n2,351.95545000000004
2021-05-10,site_3,cra,117957143.1725
2021-05-10,site_3,n2,141652.4401
2021-05-10,site_4,cra,1757150.3975
2021-05-10,site_4,n2,51404.48583333333
2021-05-10,site_5,cra,2407152.12725
2021-05-10,site_5,n2,69227.57906666666
2021-05-12,site_1,cra,210916148.95
2021-05-12,site_1,n2,466115.69203333335
2021-05-12,site_2,cra,116489132.825
2021-05-12,site_2,n2,473891.1468
2021-05-12,site_3,cra,5537095.131
2021-05-12,site_3,n2,225251.66013333335
2021-05-12,site_4,cra,3429997.67425
2021-05-12,site_4,n2,27338.118216666666
2021-05-12,site_5,cra,1406.14265
2021-05-12,site_5,n2,1
2021-05-17,site_1,cra,14642269.5
2021-05-17,site_1,n2,267508.99
2021-05-17,site_2,cra,4145279.75
2021-05-17,site_2,n2,50271.566666666666
2021-05-17,site_3,cra,14827.432
2021-05-17,site_3,n2,84.44045
2021-05-17,site_4,cra,5499079
2021-05-17,site_4,n2,25802.196666666667
2021-05-19,site_1,cra,34228581
2021-05-19,site_1,n2,883880.9
2021-05-19,site_2,cra,990439.7
2021-05-19,site_2,n2,49286.925
2021-05-19,site_3,cra,247436
2021-05-19,site_3,n2,230716.8
2021-05-19,site_4,cra,10441166
2021-05-19,site_4,n2,36348.97833333333
2021-05-24,site_1,cra,NA
2021-05-24,site_1,n2,0
2021-05-24,site_2,cra,90572.66500000001
2021-05-24,site_2,n2,-1.254625
2021-05-24,site_3,cra,222474
2021-05-24,site_3,n2,0.9051
2021-05-24,site_4,cra,26611.39
2021-05-24,site_4,n2,0
2021-05-26,site_1,cra,NA
2021-05-26,site_1,n2,107055.18
2021-05-26,site_2,cra,10100428
2021-05-26,site_2,n2,101164.38166666667
2021-05-26,site_3,cra,3849.407
2021-05-26,site_3,n2,1523.54734
2021-05-26,site_4,cra,2046875
2021-05-26,site_4,n2,10224931.5
2021-06-01,site_1,cra,4446698.5
2021-06-01,site_1,n2,154607.58333333334
2021-06-01,site_2,cra,419170.65
2021-06-01,site_2,n2,10766.498666666666
2021-06-01,site_3,cra,NA
2021-06-01,site_3,n2,402854.9
2021-06-01,site_4,cra,8745782
2021-06-01,site_4,n2,55518.848333333335
2021-06-07,site_1,cra,NA
2021-06-07,site_1,n2,90699.464
2021-06-07,site_2,cra,NA
2021-06-07,site_2,n2,NA
2021-06-07,site_3,cra,529136.55
2021-06-07,site_3,n2,9824.5305
2021-06-07,site_4,cra,35962293.3
2021-06-07,site_4,n2,55526.565
2021-06-09,site_1,cra,39331050.5
2021-06-09,site_1,n2,461740.117
2021-06-09,site_2,cra,57223772.55
2021-06-09,site_2,n2,145660.54133333333
2021-06-09,site_3,cra,570295.1905
2021-06-09,site_3,n2,36070.73796666667
2021-06-09,site_4,cra,6477239.79
2021-06-09,site_4,n2,81998.10485
2021-06-14,site_1,cra,NA
2021-06-14,site_1,n2,46167.355
2021-06-14,site_2,cra,21081656.25
2021-06-14,site_2,n2,51497.308333333334
2021-06-14,site_3,cra,252.9714
2021-06-14,site_3,n2,2905.9436166666665
2021-06-14,site_4,cra,NA
2021-06-14,site_4,n2,65949.305
2021-06-16,site_1,cra,39209616
2021-06-16,site_1,n2,202384.48333333334
2021-06-16,site_2,cra,1223113.2275
2021-06-16,site_2,n2,67832.20333333334
2021-06-16,site_3,cra,192847.875
2021-06-16,site_3,n2,8988.1949
2021-06-16,site_4,cra,12814564
2021-06-16,site_4,n2,37598.793333333335
2021-06-21,site_1,cra,3081911.5
2021-06-21,site_1,n2,4843.019
2021-06-21,site_2,cra,19861697.5
2021-06-21,site_2,n2,22826.465
2021-06-21,site_3,cra,5251.1555
2021-06-21,site_3,n2,491.0671333333333
2021-06-21,site_4,cra,3205553.75
2021-06-21,site_4,n2,3206.762166666667
2021-06-23,site_1,cra,103629839.55
2021-06-23,site_1,n2,230844.5
2021-06-23,site_2,cra,NA
2021-06-23,site_2,n2,95320.212
2021-06-23,site_3,cra,964615.22545
2021-06-23,site_3,n2,81901.82833333334
2021-06-23,site_4,cra,4341870.0795
2021-06-23,site_4,n2,63435.13333333333
2021-07-12,site_1,cra,13163479.38
2021-07-12,site_1,n2,287.82966666666664
2021-07-12,site_2,cra,46979871.1275
2021-07-12,site_2,n2,1471.1142666666667
2021-07-12,site_3,cra,NA
2021-07-12,site_3,n2,0
2021-07-12,site_4,cra,NA
2021-07-12,site_4,n2,0
2021-07-14,site_1,cra,1786222.5
2021-07-14,site_1,n2,2257.1225
2021-07-14,site_2,cra,6166684.5
2021-07-14,site_2,n2,1664.3044
2021-07-14,site_3,cra,116561.7
2021-07-14,site_3,n2,1822.3384166666667
2021-07-14,site_4,cra,6368.83
2021-07-14,site_4,n2,0
2021-07-18,site_1,cra,NA
2021-07-18,site_1,n2,NA
2021-07-18,site_2,cra,NA
2021-07-18,site_2,n2,NA
2021-07-18,site_3,cra,NA
2021-07-18,site_3,n2,NA
2021-07-18,site_4,cra,NA
2021-07-18,site_4,n2,NA
2021-07-20,site_1,cra,NA
2021-07-20,site_1,n2,NA
2021-07-20,site_2,cra,NA
2021-07-20,site_2,n2,NA
2021-07-20,site_3,cra,NA
2021-07-20,site_3,n2,NA
2021-07-20,site_4,cra,NA
2021-07-20,site_4,n2,NA
2021-07-26,site_1,cra,3585725
2021-07-26,site_1,n2,278.9058166666667
2021-07-26,site_2,cra,NA
2021-07-26,site_2,n2,NA
2021-07-26,site_3,cra,161221.25
2021-07-26,site_3,n2,806.1894
2021-07-26,site_4,cra,2341393
2021-07-26,site_4,n2,826.8419166666667
2021-07-28,site_1,cra,7852662.5
2021-07-28,site_1,n2,6220.259333333333
2021-07-28,site_2,cra,14353222
2021-07-28,site_2,n2,1487.1211333333333
2021-07-28,site_3,cra,77409.535
2021-07-28,site_3,n2,473.26311666666663
2021-07-28,site_4,cra,1347166.5
2021-07-28,site_4,n2,1283.80934
2021-08-02,site_1,cra,NA
2021-08-02,site_1,n2,NA
2021-08-02,site_2,cra,NA
2021-08-02,site_2,n2,NA
2021-08-02,site_3,cra,NA
2021-08-02,site_3,n2,NA
2021-08-02,site_4,cra,NA
2021-08-02,site_4,n2,NA
2021-08-04,site_1,cra,NA
2021-08-04,site_1,n2,NA
2021-08-04,site_2,cra,NA
2021-08-04,site_2,n2,NA
2021-08-04,site_3,cra,NA
2021-08-04,site_3,n2,NA
2021-08-04,site_4,cra,NA
2021-08-04,site_4,n2,NA
2021-08-09,site_1,cra,13403787
2021-08-09,site_1,n2,NA
2021-08-09,site_2,cra,6802189
2021-08-09,site_2,n2,NA
2021-08-09,site_3,cra,966632
2021-08-09,site_3,n2,NA
2021-08-09,site_4,cra,NA
2021-08-09,site_4,n2,452.039
2021-08-11,site_1,cra,4220708
2021-08-11,site_1,n2,8985.029333333334
2021-08-11,site_2,cra,4363094
2021-08-11,site_2,n2,2162.569
2021-08-11,site_3,cra,21887562.5
2021-08-11,site_3,n2,4814.1455
2021-08-11,site_4,cra,21215223.5
2021-08-11,site_4,n2,3572.0608333333334
2021-08-15,site_1,cra,NA
2021-08-15,site_1,n2,NA
2021-08-15,site_2,cra,NA
2021-08-15,site_2,n2,8905.239166666666
2021-08-16,site_3,cra,376031.85
2021-08-16,site_3,n2,11419.154216666666
2021-08-16,site_4,cra,8136174
2021-08-16,site_4,n2,9364.939166666667
2021-08-18,site_1,cra,NA
2021-08-18,site_1,n2,NA
2021-08-18,site_2,cra,5113631
