date,n2_1,n2_2,n2_3,n2_4,n2_5,n2_6,cra_1,cra_2,cra_3,cra_4,cra_5,cra_6,site
2021-05-05,209853.1,232519.2,181473.1,NA,NA,NA,13738575,12354700,NA,NA,NA,NA,site_2
2021-05-10,1084.8077,203.1468,327.8532,0.4244,494.1435,1.3571,507767.6657,450600.6802,89847.0161,158979.9204,NA,NA,site_2
2021-05-12,769364.6993,464651.1956,595351.8139,297924.027,356497.5355,359557.6095,128565148.3,125197563.6,108912354.2,103281465.2,NA,NA,site_2
2021-05-17,62347.38,54845.24,53915.67,42804.78,35165.55,52550.78,3893958,3643953,4446601,4596607,NA,NA,site_2
2021-05-19,75891.5,84810.28,101484.5,8583.121,17900.83,7051.319,941188.4,1039691,NA,NA,NA,NA,site_2
2021-05-24,-2.6503,-0.6793,-1.7743,0.0854,NA,NA,85769.08,95376.25,NA,NA,NA,NA,site_2
2021-05-26,105014,136873,122479.2,65069.58,95590.75,81959.76,9665046,10535810,NA,NA,NA,NA,site_2
2021-06-01,5994.366,10010.61,16294.52,NA,NA,NA,456620.6,381720.7,NA,NA,NA,NA,site_2
2021-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_2
2021-06-09,169479.302,133408.038,155595.539,151656.589,139232.865,124590.915,57983166.6,56464378.5,NA,NA,NA,NA,site_2
2021-06-14,42079.29,60769.04,47835.21,42079.29,79205.05,37015.97,16217646,16325619,25805776,25977584,NA,NA,site_2
2021-06-16,42440.49,66191.45,60769.04,72716.57,87013.05,77862.62,82421.34,52142.57,2512983,2244906,NA,NA,site_2
2021-06-21,24236.07,15849.81,18586.1,25053.67,27675.73,25557.41,19729903,19993492,NA,NA,NA,NA,site_2
2021-06-23,116798.9,125771.3,110265.3,73695.11,50070.45,NA,NA,NA,NA,NA,NA,NA,site_2
2021-07-12,1159.062,1482.848,959.5796,1583.534,1835.783,1805.879,49625092.42,42884539.63,46439002.73,48970849.73,NA,NA,site_2
2021-07-14,2367.978,2254.134,NA,1207.642,1332.706,1159.062,5819231,6514138,NA,NA,NA,NA,site_2
2021-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_2
2021-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_2
2021-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_2
2021-07-28,690.9198,1103.338,1623.029,1705,2009.329,1791.111,13972337,14734107,NA,NA,NA,NA,site_2
2021-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_2
2021-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_2
2021-08-09,NA,NA,NA,NA,NA,NA,6689356,6915022,NA,NA,NA,NA,site_2
2021-08-11,1644.909,1705,3137.798,NA,NA,NA,4203928,4522260,NA,NA,NA,NA,site_2
2021-08-15,5623.907,3688.932,4465.096,17969.26,10885.25,10798.99,NA,NA,NA,NA,NA,NA,site_2
2021-08-18,15448.17,14728.03,19927.4,7981.359,15204.29,7855.358,5028808,5198454,NA,NA,NA,NA,site_2
2021-08-23,24120.2,26962.3,25910.74,11148.2,12661.68,11059.85,16493588.7,19341022.3,NA,NA,NA,NA,site_2
2021-08-25,56508.1892,68397.7147,75851.1407,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_2
2021-08-30,35057.9,40456.06,42434.21,36772.1,33158.73,30622.71,13144444.5,13177954.8,NA,NA,NA,NA,site_2
2021-09-01,88229.7791,100207.907,83450.1683,75250.0325,79559.9803,72315.1958,11209220.3,11225975.5,NA,NA,NA,NA,site_2
2021-09-07,23179.485,8921.8062,14845.676,1220.6651,931.3482,2325.3373,3960213.7,3730628.6,NA,NA,NA,NA,site_2
2021-09-14,42137.49,54789.55,45627.11,79003.67,75922.44,55227.21,4832523.24,NA,NA,NA,NA,NA,site_2
2021-09-16,22834.997,26987.6385,18716.099,67381.203,48625.7524,59800.8539,20593691.7,21147624.2,NA,NA,NA,NA,site_2
2021-09-19,12774.8242,8379.4865,18567.7768,13943.269,7319.3949,8930.1922,526124735,581187662,NA,NA,NA,NA,site_2
2021-09-22,14859.63,18129.83,13723.15,11797.79,NA,NA,NA,NA,NA,NA,NA,NA,site_2
2021-09-27,7677.2862,5999.1477,10062.1823,10638.4941,4763.0181,6444.4874,158979920,134677847,NA,NA,NA,NA,site_2
2021-09-29,25323.37,34536.88,33455.03,15962.72,15218.59,21426.81,46580170,48472133,NA,NA,NA,NA,site_2
2021-10-04,NA,NA,NA,NA,NA,NA,151304.27,140653.6142,NA,NA,NA,NA,site_2
2021-10-06,1691.488,1599.856,4256.947,3601.922,3047.687,NA,423191.6,470594.2,NA,NA,NA,NA,site_2
2021-10-11,61187.91,65730.13,79559.98,10544.27,4500.764,8438.491,4929689,4643900,NA,NA,NA,NA,site_2
2021-10-13,0.3111,2.0183,0.2374,NA,0.0974,10.6454,183410.701,217947.868,NA,NA,NA,NA,site_2
2021-10-18,12979.73,6759.599,9746.989,8247.201,11892.03,11070.25,131150149,121111854.9,NA,NA,NA,NA,site_2
2021-10-20,17284.6696,24335.7289,15340.1536,25122.6853,36514.9772,30651.4966,207307994.6,221530993,NA,NA,NA,NA,site_2
2021-10-24,NA,NA,NA,NA,NA,NA,11994.62,14159.01,NA,NA,NA,NA,site_2
2021-10-27,NA,NA,NA,NA,NA,NA,21650.64,23601.24,NA,NA,NA,NA,site_2
2021-11-01,10544.2747,13175.5457,9737.8361,6916.3854,5898.8953,5805.7701,30169144.8,32887205.9,NA,NA,NA,NA,site_2
2021-11-03,693.8432,1127.3072,176.5746,NA,NA,NA,305721.998,282321.892,NA,NA,NA,NA,site_2
2021-11-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_2
2021-11-10,11704.2949,6495.9669,6759.599,3464.6968,NA,3548.3913,NA,NA,NA,NA,NA,NA,site_2
2021-01-14,2069.6514,3648.5371,NA,NA,NA,NA,281344.298,684745456,NA,NA,NA,NA,site_3
2021-01-19,26728.4075,31983.36,38931.3079,36670.3729,38931.3079,27189.235,54096018.9,59757575.8,NA,NA,NA,NA,site_3
2021-01-21,45795.8465,31983.36,26957.8366,35136.2626,26275.3905,18827.0828,17625181.8,17625181.8,NA,NA,NA,NA,site_3
2021-01-25,14200.0084,9666.0879,11968.7708,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_3
2021-01-27,9182.8824,8874.2409,11273.6847,8430.6197,5837.7507,7608.7982,NA,NA,NA,NA,NA,NA,site_3
2021-02-01,NA,3349.4124,2319.288,2299.5493,1905.3719,NA,60555927.45,57425119.15,NA,NA,NA,NA,site_3
2021-02-03,23714.05,31983.36,36670.37,3209.289,953.4801,96.4958,3245363,2423607,NA,NA,NA,NA,site_3
2021-02-08,4365.5519,5091.6003,4077.0265,4878.5924,8287.73,6926.0336,48005622.6,48646970,NA,NA,NA,NA,site_3
2021-02-10,63369.5007,26051.7695,35437.8623,NA,NA,NA,1533256.71,NA,NA,NA,NA,NA,site_3
2021-02-15,5989.374,9341.206,9666.088,18988.69,17433.13,19481.88,NA,NA,NA,NA,NA,NA,site_3
2021-02-17,45019.6574,55744.3683,58178.2643,54333.1821,32257.8961,35136.2626,35850148.1,35143533.1,NA,NA,NA,NA,site_3
2021-02-22,22146.7564,24329.9719,33379.8091,31711.1604,18039.4491,24961.89,NA,NA,NA,NA,NA,NA,site_3
2021-02-25,38963.76,37977.38,35165.55,NA,NA,NA,394598.1,394598.1,578000000,626000000,NA,NA,site_3
2021-03-01,7746.4339,6872.8123,14706.125,NA,NA,NA,63627923.6,64051542.8,NA,NA,NA,NA,site_3
2021-03-03,25197.1407,28158.3137,60769.0388,39635.5367,30151.0377,24982.6963,53901598.1,53190975.2,NA,NA,NA,NA,site_3
2021-03-08,21976.5756,35771.8427,33983.6168,65628.1164,48659.9437,49923.7799,15584638.8,14877290.1,NA,NA,NA,NA,site_3
2021-03-10,31737.5924,37015.969,59739.0707,67910.6284,35771.8427,58226.7573,17330306.8,16325618.8,NA,NA,NA,NA,site_3
2021-03-15,28158.31,19004.52,36700.94,42079.29,40318.9,22936.11,16003837,16110387,14681152,14108118,NA,NA,site_3
2021-03-18,119378.6,152958.4,115366.3,99764.4,166606.8,197665.9,49446740,55351452,56090939,NA,NA,NA,site_3
2021-03-22,46386.47,61501.5,79477.52,47591.25,38435.13,37783.7,41116220,39774429.5,35767982.9,37718047.6,NA,NA,site_3
2021-03-24,30514.46,51837.81,96742.92,49669.17,28497.71,47186.22,8418842,8198322,12959023,12619579,NA,NA,site_3
2021-03-29,84810.28,89273.02,130030.8,65628.12,30151.04,73970.28,62789072,62789072,21430153,21572830,NA,NA,site_3
2021-03-31,49923.78,81262.23,104120.3,70875.72,31737.59,49498.9,15792847,15897992,25805776,28887388,NA,NA,site_3
2021-04-05,62882.5547,57731.209,60769.0388,86272.5071,31737.5924,41014.0402,7265820.06,7265820.06,6754362.27,6447798.24,NA,NA,site_3
2021-04-07,122479.2,159636.8,194315.7,181473.1,87013.05,114384.4,27759856,26324640,NA,NA,NA,NA,site_3
2021-04-12,48245.8153,47428.102,51660.1033,81262.2329,18365.7648,41366.0931,21861039.3,21716456.4,10676566.6,10396908.8,NA,NA,site_3
2021-04-14,140428,192661.951,257633.502,419356.742,230540.354,359557.61,22153099.3,21430153,24798524.9,NA,NA,NA,site_3
2021-04-19,87759.9413,116356.529,163783.013,244754.465,105915.441,113410.927,NA,25977584.1,27759855.6,26324640.4,NA,NA,site_3
2021-04-21,172401.3,248974.3,412249.1,273518.1,211654.5,204540.6,9226374,9287801,NA,NA,NA,NA,site_3
2021-04-26,71484.1,114384.4,39635.54,36388.59,24982.7,45057.18,4977594,5145514,4536007,4417192,NA,NA,site_3
2021-04-28,510456.3,730904.3,977387.8,510456.3,253266.9,419356.7,16110387,15688398,8026243,7611277,NA,NA,site_3
2021-05-03,192662,215303.6,271190.2,159636.8,159636.8,138047.9,40790984,41888186,20730799,21288420,NA,NA,site_3
2021-05-05,222791.8,257633.5,391640.9,452888.4,224704.2,308285.7,32769009,35485052,NA,NA,NA,NA,site_3
2021-05-10,124590.9152,115366.2573,169479.3016,181473.1114,112445.7243,146559.3308,173303068.4,162176457,63207106.03,73141941.26,NA,NA,site_3
2021-05-12,206296.3636,244754.4646,224704.1522,NA,NA,NA,5390159.806,5684030.456,NA,NA,NA,NA,site_3
2021-05-17,285.9487,0.3765,5.7534,7.7597,203.1468,3.6576,11561.49,8297.008,24963.63,14487.6,NA,NA,site_3
2021-05-19,191022.3,201073.9,257633.5,338676.3,176879.1,219015.7,200542.7,201877.9,316996.2,270327.2,NA,NA,site_3
2021-05-24,0.98740000000000006,0.8649,0.7572,0.9057,0.9577,0.9577,232063.8,212884.2,NA,NA,NA,NA,site_3
2021-05-26,3410,1663.223,2281.879,2.3452,260.2895,NA,2414.896,5283.918,NA,NA,NA,NA,site_3
2021-06-01,426586.9,506111.9,275865.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_3
2021-06-07,12289.87,12289.87,12289.87,7359.191,7359.191,7359.191,557199.7,501073.4,NA,NA,NA,NA,site_3
2021-06-09,36700.9385,49498.8954,40318.8975,54845.2395,18054.4854,17005.9715,572187.335,568403.046,NA,NA,NA,NA,site_3
2021-06-14,3410,3410,3410,3410,3410,385.6617,252.9714,NA,NA,NA,NA,NA,site_3
2021-06-16,18842.78,22355.48,8957.875,2281.879,15.5064,1475.649,296644.1,338744.7,73628.9,62373.8,NA,NA,site_3
2021-06-21,932.1301,34.6802,27.86,51.2992,1298.879,601.5543,7243.8,3514.353,6869.288,3377.181,NA,NA,site_3
2021-06-23,56179.97,58538.11,47659.88,78706.41,114893.6,135433,1009389.255,919841.1959,NA,NA,NA,NA,site_3
2021-07-12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_3
2021-07-14,668.5938,497.4785,920.9782,2813.654,2634.754,3398.572,110765.5,122357.9,NA,NA,NA,NA,site_3
2021-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_3
2021-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_3
2021-07-26,1033.185,1289.642,1776.463,251.6336,201.594,284.6188,156408.5,166034,NA,NA,NA,NA,site_3
2021-07-28,329.9572,1067.686,1332.706,52.0035,2.5961,54.6299,77923.19,76895.88,NA,NA,NA,NA,site_3
2021-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_3
2021-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_3
2021-08-09,NA,NA,NA,NA,NA,NA,1043441,889823,NA,NA,NA,NA,site_3
2021-08-11,3856.771,1831.847,3720.844,8120.045,5932.155,5423.211,20944093,22831032,NA,NA,NA,NA,site_3
2021-08-16,0.8753,8.4519,1.1381,28056.53,17268.44,23179.49,328872.1,423191.6,NA,NA,NA,NA,site_3
2021-08-18,11693.3,5235.273,6753.251,8371.618,4429.711,7489.166,2996961,3266970,NA,NA,NA,NA,site_3
2021-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_3
2021-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_3
2021-08-30,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,site_3
